radhika,9893554998,radhika@gmail.com,22/04/04,yes
akash,9658263977,ak@outlook.com,24/10/02,no
maya,8958263977,maya@gmail.com,31/03/01,no
kavita,9175575336,kavita@gmail.com,28/11/98,no
ashok,8372745369,ashok@yahoo.com,17/12/03,no
ranjit,6754742754,ranjit@yahoo.com,02/11/03,no
aditi,6575859489,aditi@gmail.com,26/02/02,yes
manisha,6423498522,mani@yahoo.com,30/06/99,no
monisha,9985226624,monisha@gmil.com,14/09/04,no
anika,9023248942,anika@protonmail.com,01/12/03,no
gurpreet,8856854957,gurpreet@gmx.to,12/01/01,no
pravin,9659344939,pravin@gmail.com,12/06/04,no
aryan,9023433626,aryan@gmx.to,31/12/98,no
sakshi,9937475487,sakshi@gmail.com,30/08/03,yes
kumar,9923498522,kumar@outlook.com,12/04/03,no
kumar,6570899419,kumar@gmx.to,12/09/02,no
